"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1281" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1282" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1283" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1284" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1285" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1286" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1287" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1288" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1289" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1290" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1291" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1292" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1293" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1294" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1295" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1296" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1297" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1298" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1299" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1300" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1301" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1302" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1303" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1304" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1305" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1306" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1307" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1308" "high" "low" "<18" "<18" "18-24" "18-24" "closed"
"1309" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1310" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1311" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1312" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1313" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1314" "low" "low" "<18" "<18" "<18" "<18" "open"
"1315" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1316" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1317" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1318" "high" "high" ">24" ">24" "18-24" "18-24" "open"
"1319" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"1320" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1321" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1322" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1323" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1324" "low" "low" ">24" "18-24" "18-24" "18-24" "closed"
"1325" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1326" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1327" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1328" "low" "high" "18-24" "18-24" "18-24" "<18" "open"
"1329" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1330" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1331" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1332" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1333" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1334" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1335" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1336" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1337" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1338" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1339" "low" "high" "<18" "<18" "<18" "<18" "closed"
"1340" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1341" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1342" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1343" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1344" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1345" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1346" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1347" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1348" "high" "high" "<18" "<18" "<18" "<18" "closed"
"1349" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1350" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1351" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1352" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1353" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1354" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1355" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1356" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1357" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1358" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1359" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1360" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1361" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1362" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1363" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"1364" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1365" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1366" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1367" "high" "high" "18-24" "18-24" "<18" "18-24" "open"
"1368" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1369" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1370" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1371" "high" "low" "18-24" ">24" ">24" ">24" "closed"
"1372" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1373" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1374" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1375" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1376" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1377" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"1378" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1379" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1380" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1381" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1382" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"1383" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1384" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1385" "high" "low" "<18" "18-24" "18-24" ">24" "closed"
"1386" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1387" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1388" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1389" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1390" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1391" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1392" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1393" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1394" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1395" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1396" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1397" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1398" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1399" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1400" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1401" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1402" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1403" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1404" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1405" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1406" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1407" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1408" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"1409" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1410" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1411" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1412" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1413" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1414" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1415" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1416" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1417" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1418" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1419" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1420" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1421" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"1422" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1423" "high" "high" "18-24" "18-24" "<18" "18-24" "open"
"1424" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1425" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1426" "low" "low" "<18" "18-24" "<18" "18-24" "open"
"1427" "low" "high" "18-24" ">24" "<18" ">24" "open"
"1428" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1429" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"1430" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1431" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1432" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1433" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1434" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1435" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1436" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"1437" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
"1438" "high" "high" ">24" ">24" "18-24" ">24" "open"
"1439" "high" "low" "<18" "18-24" "18-24" ">24" "open"
"1440" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1441" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1442" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"1443" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1444" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1445" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1446" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1447" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1448" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1449" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1450" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1451" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1452" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1453" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1454" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1455" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1456" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"1457" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1458" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1459" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1460" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1461" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1462" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1463" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1464" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1465" "high" "high" "18-24" "<18" "<18" "18-24" "open"
"1466" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1467" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1468" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1469" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1470" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"1471" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1472" "high" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1473" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1474" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1475" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1476" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1477" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1478" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1479" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1480" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1481" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1482" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1483" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1484" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1485" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1486" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1487" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1488" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1489" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1490" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1491" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1492" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1493" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1494" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1495" "high" "high" "<18" "<18" ">24" ">24" "open"
"1496" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"1497" "high" "low" "<18" "<18" "<18" "<18" "closed"
"1498" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"1499" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1500" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1501" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1502" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1503" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"1504" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1505" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"1506" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1507" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1508" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1509" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"1510" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"1511" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1512" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1513" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1514" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1515" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1516" "high" "low" ">24" "18-24" "18-24" ">24" "open"
"1517" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1518" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1519" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1520" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1521" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1522" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1523" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1524" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1525" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1526" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1527" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1528" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1529" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1530" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1531" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1532" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1533" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1534" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1535" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1536" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1537" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1538" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1539" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1540" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"1541" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1542" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1543" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1544" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1545" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1546" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1547" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1548" "low" "low" "18-24" "18-24" ">24" "<18" "closed"
"1549" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1550" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1551" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1552" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"1553" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1554" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1555" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1556" "high" "low" "18-24" "<18" "<18" "<18" "open"
"1557" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"1558" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"1559" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1560" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"1561" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1562" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1563" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1564" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1565" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1566" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1567" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1568" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1569" "high" "high" "18-24" "18-24" "18-24" ">24" "open"
"1570" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1571" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1572" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1573" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1574" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1575" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1576" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1577" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1578" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1579" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1580" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1581" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"1582" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1583" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1584" "low" "low" ">24" "18-24" "18-24" "<18" "open"
"1585" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"1586" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"1587" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1588" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1589" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1590" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1591" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1592" "high" "high" ">24" ">24" "<18" "<18" "closed"
"1593" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1594" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1595" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1596" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1597" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1598" "low" "low" "<18" "18-24" "18-24" ">24" "open"
"1599" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"1600" "low" "low" "18-24" "<18" "<18" "<18" "open"
"1601" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"1602" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1603" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1604" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1605" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1606" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1607" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1608" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1609" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"1610" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"1611" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1612" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1613" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1614" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1615" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1616" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1617" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1618" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1619" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1620" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"1621" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1622" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"1623" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1624" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"1625" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"1626" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1627" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1628" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1629" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"1630" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1631" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1632" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"1633" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"1634" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1635" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1636" "low" "high" "18-24" "18-24" ">24" ">24" "closed"
"1637" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1638" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"1639" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1640" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1641" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1642" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"1643" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"1644" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1645" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"1646" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1647" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1648" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1649" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1650" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"1651" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1652" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"1653" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1654" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1655" "high" "high" ">24" ">24" ">24" ">24" "closed"
"1656" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1657" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1658" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"1659" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"1660" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"1661" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"1662" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1663" "high" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1664" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"1665" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1666" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"1667" "high" "low" "18-24" ">24" "18-24" ">24" "open"
"1668" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"1669" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1670" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"1671" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"1672" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1673" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1674" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1675" "low" "high" "18-24" "18-24" "18-24" ">24" "open"
"1676" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"1677" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"1678" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"1679" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1680" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"1681" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1682" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"1683" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"1684" "low" "low" "<18" "18-24" "18-24" ">24" "open"
"1685" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"1686" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1687" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"1688" "low" "low" ">24" "18-24" ">24" ">24" "open"
"1689" "high" "low" "18-24" ">24" ">24" ">24" "closed"
"1690" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"1691" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"1692" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"1693" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"1694" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"1695" "low" "high" "<18" "18-24" "18-24" "18-24" "closed"
"1696" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"1697" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
